Drama Name	Episode Number	URL	Start Time	End Time	Urdu Sentence	English Sentence	Correct/Incorrect	Correct Translation
Nand	88	https://www.youtube.com/watch?v=lBIEopkSGbA	31:20:00	31:23:00	"????? ????? ? ?? ?? ?? ?? ?? ??? ?? ?????? ???? ???? ??? ?"	"Look, until you respect her mother,"	0	"Look dear, as long as you don't respect his mother,"
Ghair	11	https://www.youtube.com/watch?v=lBWck8luV2M	34:53:00	34:54:00	"???? ? ???? ??? ???? ???? ?? ????"	"Sir, please, don't do that, please."	0	"Sir, please sir don't do this"
Raqs e Bismil	24	https://www.youtube.com/watch?v=uQGYQ2J8c8E	12:32	12:34	???? ???? ????? ?? ?? ???? ???? ???	I don't know where he goes.	0	I don’t know where he goes off to.
Nand	94	https://www.youtube.com/watch?v=UjXIYsfChEw	16:33	16:35	??? ??? ?? ?? ??? ??? ??? ?? ?? ??? ??? ????? ?? ??? ???	The sister I'm telling you that they're just having a play drama.	0	Sister I'm telling you they're only doing a drama
Ramz e Ishq	25	https://www.youtube.com/watch?v=-sTQhQH0FAM	36:59:00	36:59:00	"????? ???? ?? ???? ???? ??? ?? ?"	"You will not be able to make a decision,"	0	"won’t be able to decide,"
Tark e Wafa	10	https://www.youtube.com/watch?v=arsxWTGl8K4	17:10	17:15	"???? ???? ?? ? ?? ???? ??? ??? ?? ??? ??? ?? ?? ???? ????? ?? ???? ??? ???? ??? ??? ???"	"I mean, what's happening in this office? Who has granted her leave without my permission."	1	"I mean, what's happening in this office? Who has granted her leave without my permission."
Ghair	13	https://www.youtube.com/watch?v=iEqWnfiSDAI	15:50	15:52	"??? ? ????? ??? ??? ???? ???"	"Yeah, I'll bring it."	0	"Yes, sir. I'll bring it."
Nand	112	https://www.youtube.com/watch?v=pSIftbUESxY	9:27	9:31	?? ??? ?? ?? ??? ?? ???? ??? ??? ???	They're just you who are important to me.	0	It is only you who is important to me
Nand	64	https://www.youtube.com/watch?v=qM8viaK32Wk	6:47	6:55	"????? SAQIB ??? ???? ???? ??? ? ??? ????? ??????? ????"	"Look, I'm not crazy, I'm completely intelligent."	0	"Look Saqib I'm not mad, I'm absolutely sane."
Ghair	7	https://www.youtube.com/watch?v=x-__Wu1kpYQ	34:30:00	34:33:00	??? ?? ???? ???? ?????	I don't want to do this	1	I don't want to do this
Ghair	26	https://www.youtube.com/watch?v=lre7j3xSHmc	7:07	7:13	?? ?? ???? ????? ?? ???? ??? ???? ??? ??	Nothing will change your hunger without your hunger.	0	your hunger strike won't make any difference
Tark e Wafa	23	https://www.youtube.com/watch?v=_u0l6qcxhfU	26:35:00	26:38:00	??? ?? ???? ???? ?? ??? ????? ?? ?? ??? ?? ??? ?????? ????? ????? ?? ?? ???? ??? ??? ??????? ????? ?? ????? ???? ?????? ???	And it's a standard of good merchants to plan it so that she cannot fail her time and project.	0	And it's a quality of good businessman that he should plan in way that he may not lose both his time and project.
Seerat e Mustaqeem (S3)	6	https://www.youtube.com/watch?v=lJC-sxWC0Xw	12:36	12:39	?? ?? ???? ??? ????? ???? ??? ???? ??? ??	"I didn't leave my bag, too."	0	Neither leave my bag has come anyway
Nand	67	https://www.youtube.com/watch?v=Sxq0HA83hlM	31:38:00	32:07:00	?? ?? ?? ???? ??? ??? ???	What's wrong with you?	0	Gul what's wrong with you?
Siyah	4	https://www.youtube.com/watch?v=jLYpgJm1SB0	20:02	20:03	?? ??? ?????? ?? ??? ???? ??	It's not time to get out of time	0	This is not the time to step out
Ramz e Ishq	20	https://www.youtube.com/watch?v=PoRSgZdcDRc	28:14:00	28:14:00	"???? ???? ?????? ?? ?? ???? ?? ?? ?"	The girl will hang me.	0	"girl will leave me hanging,"
Ghair	17	https://www.youtube.com/watch?v=y4B3PGPNGSA	2:05	2:11	?? ?? ?????? ???? ?? ???? ??? ??? ?? ?? ???? ???	She tried to kill himself? Are you sure?	0	She tried to commit suicide? Are you sure?
Nand	54	https://www.youtube.com/watch?v=8hXraKRdtzM	25:54:00	25:58:00	??? ????? ?? ???? ????? ???	God Will Make Things Better	0	God will make things better.
Tark e Wafa	35	https://www.youtube.com/watch?v=qWRv5ulsYiU	26:43:00	26:45:00	?? ?? ???? ?????: ???!	Which means: Wow!	0	"I mean, wow!"
Ramz e Ishq	30	https://www.youtube.com/watch?v=KIHqf7pGNBI	33:43:00	34:05:00	?? ?? ???? ???? ??? ????? ??????	Your long marriage.	0	May you have a long married life.
Nand	77	https://www.youtube.com/watch?v=dHwur79fcxA	29:54:00	30:01:00	"??? ??? ?? ? ??? ??? ????? ??? ??? ?? ??? ?? ????? ?? ?? ??? ???????? ? ??? ???? ???? ???"	"Then, I'm confused about how I can handle these people, so I'm alone."	0	"Then there's sister, I'm so confused how do I handle these people, I'm so alone"
Ramz e Ishq	19	https://www.youtube.com/watch?v=4tO33a-tBAc	34:25:00	34:27:00	"??? ? ?? ????? ??? ???? ????"	"Yes, they were together."	0	"yes, they both were together."
Siyah	37	https://www.youtube.com/watch?v=xkeV0EC-g90	21:15	21:18	???? ???? ????? ???? ???	I'm supposed to be crazy.	0	I am considered crazy.
Siyah	33	https://www.youtube.com/watch?v=CgyfEgviCwc	0:42	0:49	???? ???? ??? ???? ???? ???? ???	I don't understand.	0	What? I don’t understand anything.
Nand	70	https://www.youtube.com/watch?v=I3_Y0nBZCkw	25:20:00	25:28:00	??? ?? ?? ?? ????? ?? ???? ?? ??? ??? ?? ?? ?? ?? ??? ??? ?? ??? ??	I was trying to tell you that what you're doing is wrong	1	I was trying to tell you that what you're doing is wrong
Nand	102	https://www.youtube.com/watch?v=qhVok9HCQqo	37:25:00	37:29:00	"???? ?? ????? ?? ??? ???? ?????? ??? ?? ? ?? ?? ?? ????? ???? ????? ?? ??? ??? ?? ???? ??"	"You have to take the responsibility of your own people, you should know that I'm better than I'm."	0	"It's fun to take responsibility of your own people, you should know that better then me"
Nand	52	https://www.youtube.com/watch?v=3RWZBbj8Ttw	3:20	3:23	???? ??? ????? ??? ?? ?? ?? ??? ???? ???? ????	I'm sorry. She really loved you.	0	I feel very sorry. She used to love you a lot.
Siyah	22	https://www.youtube.com/watch?v=rYCacBfbCxA	19:01	19:06	?? ??? ???? ???? ???? ?? ???? ???? ?????	Can we not get it there?	0	we wouldn’t have been able to have it there?
Siyah	38	https://www.youtube.com/watch?v=U_0pOAc2hcw	29:05:00	29:15:00	"???? ? ??? ?? ??? ???? ???? ???? ???"	"Uh, I still didn't understand"	0	"Mama, I still didn’t understand"
Nand	58	https://www.youtube.com/watch?v=FFrGcHwQLF4	31:10:00	31:15:00	"????? ? ???? ??????? ?? ??? ??? ????? ???? ??? ?? ?? ?? ?? ????? ?? ????? ????? ??? ???? ?? ???"	"Look, keep your business in mind, or I'll let you get away from your job."	0	"Look, mind your own business or else I will fire you from your job. Go from here"
Ghair	25	https://www.youtube.com/watch?v=y02JB_MAKPw	23:50	23:57	?? ?? ???? ??? ?????? ?? ????? ????? ???	We were falsely accused of blasphemy.	0	we were accused for being characterless
Tark e Wafa	35	https://www.youtube.com/watch?v=qWRv5ulsYiU	21:18	21:23	??? ?? ????? ?? ??? ?? ???? ??? ??	I'll give charity to both of you.	0	I will give charity in the name of both of you
Nand	62	https://www.youtube.com/watch?v=PUNfhYRCF88	10:38	10:41	?? ??? ?? ????? ???? ?? ??????? ????? ???? ??? ?? ??? ???? ????	Don't worry. Keep them calm.	0	Don't you worry. Sit in peace. Let them pamper their sister.
Raqs e Bismil	2	https://www.youtube.com/watch?v=6oz5iOQ_pfw	7:23	7:29	"???? ? ?? ??? ?? ?? ??? ?? ?????? ?? ???? ???"	"Son, when comes to anyone like this, when does anyone get girls like that?"	0	"Son, when does one find girls like this anymore."
Nand	86	https://www.youtube.com/watch?v=-AKBSbOgb_U	11:58	12:08	??? ?????? ??? ???? ???? ?? ??? ??? ??? ??? ?????	- I'm not answering the phone phone. - What do I do?	0	Pick up the phone. The phone is not responding. What shall I do?
Siyah	7	https://www.youtube.com/watch?v=qdtkTK5Bxc4	34:44:00	34:51:00	"?????? ? ?? ???? ?? ?? ???? ???? ???"	"After all, she was my best friend"	1	"After all, she was my best friend"
Siyah	12	https://www.youtube.com/watch?v=Uyhnox3WMZU	2:08	2:13	??? ???? ???? ?? ???? ???? ??	I don't like that.	0	Yes but mama doesn’t like
Siyah	20	https://www.youtube.com/watch?v=gEhh3QgxI_Q	40:57:00	41:02:00	???? ???? ??? ????? ??? ??	The killer still has.	0	The murderer is still in the mansion
Nand	86	https://www.youtube.com/watch?v=-AKBSbOgb_U	9:54	10:00	"??? ?? ?? ?? ??????? ??? ?? ? ?? ??? ?? ??? ????? ??? ?? ??? ??? ????? ??? ???"	"And when you're going to travel, we'll enjoy a lot of fun."	0	"And when you will have holidays, we will go for a trip. We'll enjoy a lot."
Raqs e Bismil	19	https://www.youtube.com/watch?v=H3NSHk7U9Pg	10:47	10:52	???? ??? ???? ???? ???? ?? ???? ???? ?? ??? ???	I just don't get the same thing as what's going on with me.	0	I just don’t get whats happening to me.
Nand	51	https://www.youtube.com/watch?v=3YUvA6NpSTU	31:52:00	32:00:00	??? ??? ?? ???? ?????? ?? ???? ??? ?? ?? ?? ???? ???? ??	We'll get some rest when we get back from the line.	0	We'll be relaxed once Gauhar returns from the hospital
Tark e Wafa	12	https://www.youtube.com/watch?v=ODfRELsrEI0	33:36:00	33:36:00	"???? ??? ? ???? ???? ???? ??? ???? ??? ?? ???? ???"	"Peace, my daughter, John here. How are you here?"	0	"Greetings. Wow, my daughter Anum is here as well. How are you?"
Ghair	21	https://www.youtube.com/watch?v=WJ7V-z4cHqM	15:55	16:11	"????? ? ??? ??? ???? ????? ?? ?????? ???"	"Look, I'm worried about my imagination."	0	"See, I am worried about my image too"
Tark e Wafa	1	https://www.youtube.com/watch?v=lcX6kaafFiw	14:39	14:44	?? ???? ??????? ???? ???? ??? ?? ??? ??? ???? ???	Why is she so indifferent?	0	why is she such a careless girl? So pampered & spoiled
Siyah	2	https://www.youtube.com/watch?v=GZIMXEDVELc	0:43	0:43	??? ???????? ???? ???? ?? ???? ???? ???	And he will be like the People of Faith (i.e. Islamic Monotheism) when he reveals (their deeds) to them [i.e. they speak like 'Iesa (Jesus)'s (Jesus) son of Maryam (Mary)].	0	and honest as he appears.
Ramz e Ishq	14	https://www.youtube.com/watch?v=e4a5UcSPjQs	19:34	19:39	?? ???? ???? ??? ??	You won't be here.	0	You will not be here
Ghair	11	https://www.youtube.com/watch?v=lBWck8luV2M	35:39:00	35:41:00	"???? ? ??? ?? ?? ??? ???? ???? ?? ???? ??? ?? ??? ??? ?? ???? ????? ?? ???? ????? ??"	"Sir, I promised to bring it back tomorrow, but he's running me from work"	0	"Sir, I've promised to bring it back tomorrow still he is firing me from the job"
Ghair	10	https://www.youtube.com/watch?v=7iMm11vlmeg	13:13	13:19	???? ???? ???? ???? ??? ?? ?? ??? ??? ??? ???? ?? ??? ?? ?? ??? ????	I didn't know what you're saying. How's the grief and anger?	0	I didn't understand what you were saying. What kind of sorrow and anger?
Nand	109	https://www.youtube.com/watch?v=FdGxE-Dt8QA	36:40:00	36:44:00	???? ??? ?? ???? ?? ???? ????	"Do not put my patience to the test, no matter how many times you may have been able to endure."	0	Don't test my patience Gauhar
Tark e Wafa	31	https://www.youtube.com/watch?v=7E4jjTrxBeI	5:49	5:54	?? ?? ???? ??? ? ???? ?? ??? ???? ???? ????	You could also ask the problem loud.	0	You can ask this question in excitement as well.
Nand	88	https://www.youtube.com/watch?v=lBIEopkSGbA	29:03:00	29:07:00	???? ????? ?? ??? ?? ??????? ???? ?? ??? ?? ?? ?????	Thank you for such a beautiful gift.	0	Thank you for such a lovely gift my dear
Siyah	13	https://www.youtube.com/watch?v=dsnr32j_Yko	13:35	13:35	?? ??? ??? ????? ??	It's destruction at home.	0	It is ruined at home
Siyah	36	https://www.youtube.com/watch?v=OLaTDdD7yJ8	27:45:00	27:49:00	"?? ?? ??? ???? ??? ???? ??? ???? ?? ? ???? ?? ? ???? ?? ???? ?? ?"	"You don't have time? Okay, okay, okay."	0	"You don’t have free time? Okay, okay, okay fine,"
Ramz e Ishq	29	https://www.youtube.com/watch?v=EbTlYrjRuMM	26:05:00	26:08:00	"??? ? ?? ??? ????? ?? ???? ????? ??????? ???? ???? ???"	It's not right.	0	"Child, blaming Rania like this is not right."
Ramz e Ishq	20	https://www.youtube.com/watch?v=PoRSgZdcDRc	30:34:00	30:40:00	"?? ?? ?? ? ???? ?? ?????? ???? ????? ???"	"It's true, it's amazing."	0	"that is true, Rayan’s choice is amazing."
Siyah	3	https://www.youtube.com/watch?v=wpoRWZz3EY0	24:31:00	24:33:00	?? ?? ???? ???? ????	You don't get that.	0	you don’t get such
Siyah	25	https://www.youtube.com/watch?v=nANkHk63giY	11:49	11:49	?? ??? ??? ???? ????? ????? ??	You'd like to beat it.	0	you too will want to slap him
Nand	78	https://www.youtube.com/watch?v=ty3F5oorbhI	20:23	20:27	??? ??? ????? ??? ?? ?? ?? ?????? ?? ?? ?? ???? ??? ??????? ?? ???? ??? ?? ?? ????? ????? ?? ?? ?? ?? ???? ???? ????? ???? ???	I think that's his plan to catch you up with his two brothers.	0	I bet her plan would be to trap you in this mess and both her brothers would throw you out along with her
Nand	70	https://www.youtube.com/watch?v=I3_Y0nBZCkw	34:13:00	34:21:00	??? ?? ???? ??? ????? ????? ?? ??? ???? ???? ????? ?? ??? ???? ????	I remember the long periods of time that were very good.	0	I spent the entire night remembering the old times which were so nice.
Nand	64	https://www.youtube.com/watch?v=qM8viaK32Wk	18:45	18:52	??? ??? ??? ??? ??? ??? ??? ??? ??? ?? ??? ???? ????? ?? ?? ?? ?? ??? ???? ??	I'm very happy Gul. I'm so happy that I don't know how to react	1	I'm very happy Gul. I'm so happy that I don't know how to react
Nand	62	https://www.youtube.com/watch?v=PUNfhYRCF88	6:19	6:24	???? ??? ??? ???? ??	Let me drop it up.	0	Let me hug her
Ghair	16	https://www.youtube.com/watch?v=mCc8nl_bTF0	29:26:00	29:33:00	???? ?? ??? ?? ???? ???? ?? ????? ??? ???? ???? ???? ??????	I don't want to be here.	0	Ask Salis to divorce me. I don't want to live here.
Siyah	12	https://www.youtube.com/watch?v=Uyhnox3WMZU	15:09	15:12	??? ???? ?????? ???? ?? ???	It was a bare bicycle.	0	a poor cycle rider he was
Ghair	30	https://www.youtube.com/watch?v=0RCSKR7yc6Y	7:34	7:36	"?? ?? ?? ??????? ?? ??? ?? ?? ???? ???? ???? ????? ???? ? ??? ?? ?? ??? ???"	"It's your kindness that you're quick to say to me, other I was too slow."	0	"This is your kindness that you called me quick; otherwise, I was known to be slow until now"
Nand	77	https://www.youtube.com/watch?v=dHwur79fcxA	19:07	19:08	??? ??? ??? ?? ?? ?? ?? ??? ???? ??? ???? ?? ?? ??? ??? ??? ????	Is that the reason you're crying? Did father come to you and fight?	0	Is this why you are crying? Did father came to you and fight?
Raqs e Bismil	25	https://www.youtube.com/watch?v=iDpbP92MPOk	12:25	12:29	?? ?? ???? ?? ??? ??? ?? ????? ???? ?? ??? ?????? ?? ??? ???? ?? ?? ??? ??? ?? ??? ??? ??? ???	Let's say to the top of the list that I've been in prison for ten years in the next ten years.	0	Tell the top to register an FIR that will have them in jail for the next ten to twenty years.
Ghair	32	https://www.youtube.com/watch?v=pOy9eq9TmH8	23:48	23:56	??? ??? ?? ?????? ???? ????? ???? ?? ??? ????? ????? ?? ????? ??? ??? ?? ?? ????? ???? ???? ?? ????? ?????	"If you go back to me, I'll show you brother-in-law. Then I'll show him my love for him."	0	"And if you follow me again, I'll tell brother Farjad. Then declare your love in front of him."
Siyah	1	https://www.youtube.com/watch?v=eQTb-xwyv3Q	29:33:00	29:34:00	?? ????? ??? ?? ?????? ???? ???	She's not worried about being deceived.	0	He is not worried about the fraud.
Seerat e Mustaqeem	26	https://www.youtube.com/watch?v=Y4S8lTuOWsA	4:45	4:47	"?????? ??? ?? ??? ?? ??? ???? ?? ? ?? ?? ??? ????"	Be aware of what you talk to me.	0	Beware who reminds me talks to them
Siyah	38	https://www.youtube.com/watch?v=U_0pOAc2hcw	3:35	3:39	??? ??? ???? ???? ?? ??? ???	She's like my daughter.	0	Hina is like my daughter as well.
Ghair	34	https://www.youtube.com/watch?v=n8de22xuFi8	7:20	7:22	???? ?? ??? ???? ????	Love will produce in the hearts	0	Love will be born in the heart
Nand	112	https://www.youtube.com/watch?v=pSIftbUESxY	37:08:00	37:12:00	"??? ?? ???? ???? ????? ?? ? ????? ??? ?????? ??? ?? ???? ???? ?? ?? ?? ?? ?? ??????? ?? ???? ?? ??? ? ???? ?? ?? ?? ????? ????? ???? ??"	"The sister will not say, and you will be upset, and you will stay until they understand the situation, or he can hurt you."	0	"Sister you will not go anywhere, Dilawar is very upset. You will stay here till he understands the situation, otherwise he can harm you"
Siyah	15	https://www.youtube.com/watch?v=6jJnYj6wUTg	16:51	16:55	"?? ???? ? ???? ??? ??"	"Yes, Dad, is in stress"	0	"Jee Baba, tension is in"
Raqs e Bismil	19	https://www.youtube.com/watch?v=H3NSHk7U9Pg	8:59	9:01	"??? ???? ?? ? ?? ??? ??? ??? ?? ??? ??? ???? ??!"	"Yes, he's not responsible for anything!"	0	"Yeah right, she’s not to blame for anything at all!"
Ghair	34	https://www.youtube.com/watch?v=n8de22xuFi8	18:59	19:03	?? ?? ?? ????? ?? ???	Far away from you!	0	the era of your disloyalty
Nand	87	https://www.youtube.com/watch?v=AXFbAG6EtrQ	20:59	21:01	?? ??? ?? ?? ???? ??? ???????	What question do you ask me?	0	Who are you to ask me that question?
Nand	57	https://www.youtube.com/watch?v=ocN7u3E0uKA	6:34	6:37	??????? ???? ??? ??? ???? ???	The matters will be okay?	0	things will be fine. Okay?
Nand	106	https://www.youtube.com/watch?v=Eb8GtiBnvcQ	9:15	9:32	?? ???? ?? ??? ????? ????? ??!	He's already outraged!	0	He has already become so angry!
Seerat e Mustaqeem (S3)	19	https://www.youtube.com/watch?v=rcDsGTWbRQg	3:25	3:36	???? ??? ?? ??? ????? ???? ??	"Well, it's okay to eat well."	0	Eating well is fine
Tark e Wafa	12	https://www.youtube.com/watch?v=ODfRELsrEI0	4:23	4:31	???? ??? ??? ???? ???? ???? ?? ????? ??? ??? ???? ??? ???? ???? ???? ?? ?? ?? ?? ?? ???? ???? ???? ??????	"Well, I and all my family are very grateful, but I think you shouldn't be here anymore."	0	By the way me and all my family members are very thankful but I think you shouldn't stay here anymore.
Seerat e Mustaqeem	13	https://www.youtube.com/watch?v=IuzSotmYEqg	4:08	4:10	"???? ? ??? ?? ??? ?????? ?? ??? ???? ??? ???"	"No, I didn't do it and others like this."	0	"No, I did not come like this and others"
Ghair	36	https://www.youtube.com/watch?v=llK3JoJuLEs	32:36:00	32:39:00	????! ?? ?? ?????? ???? ?? ????? ??? ??	Here! Thank you. Thank you.	0	Here! Say thank you. Dad has given them
Nand	84	https://www.youtube.com/watch?v=IAA8lCeex0U	36:15:00	36:16:00	"???? ???? ?? ? ??? ?? ??? ?? ???? ?? ??? ?? ?? ?? ???? ?? ?? ?????? ?? ???? ??? ???? ??"	"Let me go, I'm not going to tell you where my mother is."	0	"Let go of me, I'm not going anywhere till you tell me where my mother is"
Nand	62	https://www.youtube.com/watch?v=PUNfhYRCF88	38:16:00	38:22:00	??? ?? ?? ?? ??? ???? ??? ??? ?? ??????? ???! ???????!	"I'll take you away from everything, you're cruel!"	0	I'd take away everything from you. You are cruel! Cruel!
Nand	106	https://www.youtube.com/watch?v=Eb8GtiBnvcQ	38:13:00	38:17:00	??? ?? ????? ??? ?? ???? ??!	I'll definitely do it!	0	I'll do that for sure!
Ramz e Ishq	17	https://www.youtube.com/watch?v=dRZ8QC6bP8s	35:39:00	35:42:00	"??? ??? ?? ??? ??? ??? ??? ?? ???? ?"	I was patient and then it was divorce.	0	"I was being patient and then this divorce,"
Nand	101	https://www.youtube.com/watch?v=xM2BS120Vlg	6:54	6:56	??? ???? ?? ??? ??	It’s all about me.	0	Umar is my everything
Raqs e Bismil	19	https://www.youtube.com/watch?v=H3NSHk7U9Pg	6:50	6:54	?? ???? ??? ???? ????? ????	You waste your time.	0	You’re wasting your time Essa.
Ghair	3	https://www.youtube.com/watch?v=Cf63cHvPmuU	4:23	4:29	"?? ??? ? ?? ????? ?? ??? ??? ??? ??? ??? ???? ?? ???? ????? ?? ???? ????? ????"	"At this time, you came into a conversation and threw me out of your life."	0	"At that time, you came in Tehreen's talks and threw Hawa out of your life."
Tark e Wafa	5	https://www.youtube.com/watch?v=DqSsgkfMMV0	35:18:00	35:22:00	"??? ?? ???? ??? ? ???? ??? ???? ?? ??? ??"	"Believe in me, I'm getting so calm."	0	"believe me, I am having so much of peace"
Nand	53	https://www.youtube.com/watch?v=MEsHEnHl-HI	2:44	2:48	???! ???? ?? ??? ???? ???	"Yes, everything else is okay."	0	Yes! Everything else is alright.
Tark e Wafa	4	https://www.youtube.com/watch?v=BISX0uDF2aM	35:03:00	35:21:00	???? ???? ???? ???? ?? ?? ???? ????? ?? ???? ??????	"Hurry up, you destroyed your hair."	0	Hurry up. Hurry up. You spoiled your hair.
Nand	83	https://www.youtube.com/watch?v=y6jPxlChl7c	20:53	20:57	??? ?? ???? ??? ???? ????? ?? ????	"And do not mention the matter of your Lord, [O Muhammad],"	0	Don't talk any nonsense about Rabi
Nand	55	https://www.youtube.com/watch?v=1e9tbD4E7rY	26:19:00	26:24:00	???? ??? ??? ???????? ?? ???? ???? ???? ??	That's not I can't get it up.	0	Otherwise I will not be able to handle her
Nand	98	https://www.youtube.com/watch?v=LchIbyVV0Zk	5:10	5:12	??? ???? ??! ?? ??? ??? ???? ??? ???	Oh well! It's a good news.	0	Oh okay! That is also a good news.
Ghair	21	https://www.youtube.com/watch?v=WJ7V-z4cHqM	22:27	22:41	*?? ???? ?? ?? ?????? ?? ???? ?? ??? ??? ?? ???? ???? ?? ??? ??*	* The numbers that you're trying to get aren't answering...	0	*the number you are trying to reach is not answering*
Raqs e Bismil	19	https://www.youtube.com/watch?v=H3NSHk7U9Pg	21:41	21:42	?? ??? ?? ?????? ???? ??????	Everyone should be anxious.	0	Everyone must be worried.
Siyah	33	https://www.youtube.com/watch?v=CgyfEgviCwc	14:21	14:24	????? ???????? ?? ????? ????	Both families fought.	0	both families had a fight.
Nand	103	https://www.youtube.com/watch?v=nyaTtzWKhlw	21:32	21:34	"?? ?? ????? ?? ???? ??? ????? ? ???? ???"	"About its improvement, my child."	0	"Think for his betterment, my child"
Siyah	11	https://www.youtube.com/watch?v=dIX61Rih7nw	33:33:00	33:35:00	?? ?? ??? ???? ?? ???? ???? ?? ???? ??	Or I'll sit down and cry for my past.	0	either I would sit and cry on my past
Siyah	23	https://www.youtube.com/watch?v=NSpCJcmtQ64	0:42	0:45	????? ?? ??? ???? ?????	Life will be empty everywhere	0	Lives will be empty everywhere.
Ghair	17	https://www.youtube.com/watch?v=y4B3PGPNGSA	6:10	6:13	"???? ???? ?? ????? ?????? ? ?? ???? ????? ???? ??"	"Make your son quiet, he will ruin us"	1	"Make your son quiet, he will ruin us"
Nand	97	https://www.youtube.com/watch?v=GnDYvtv3lxg	1:16	1:21	?? ?? ??? ?????! ?? ??? ???? ??? ??? ??? ???? ??? ????? ?? ??? ?? ?????	Look at him. He looks so fast. Let's go to the doctor.	0	Look at her! She looks so pale. Let's take her to the doctor
Ghair	33	https://www.youtube.com/watch?v=BCGQbYZh4Sk	38:08:00	38:13:00	???? ??? ?? ???? ???? ????	Why did my sister dance?	1	Why did my sister dance?
Ramz e Ishq	29	https://www.youtube.com/watch?v=EbTlYrjRuMM	26:49:00	26:54:00	??? ??? ?? ?? ???? ????	Then who added the poison?	1	Then who added the poison?
